2023-10-30 09:22:59,018 INFO    StreamThr :13699 [internal.py:wandb_internal():86] W&B internal server running at pid: 13699, started at: 2023-10-30 09:22:59.017367
2023-10-30 09:22:59,019 DEBUG   HandlerThread:13699 [handler.py:handle_request():146] handle_request: status
2023-10-30 09:22:59,022 INFO    WriterThread:13699 [datastore.py:open_for_write():85] open: /Users/oyvind/code/skole/master/rl-test/wandb/run-20231030_092259-y0b02ma9/run-y0b02ma9.wandb
2023-10-30 09:22:59,022 DEBUG   SenderThread:13699 [sender.py:send():380] send: header
2023-10-30 09:22:59,087 DEBUG   SenderThread:13699 [sender.py:send():380] send: run
2023-10-30 09:22:59,702 INFO    SenderThread:13699 [dir_watcher.py:__init__():211] watching files in: /Users/oyvind/code/skole/master/rl-test/wandb/run-20231030_092259-y0b02ma9/files
2023-10-30 09:22:59,702 INFO    SenderThread:13699 [sender.py:_start_run_threads():1122] run started: y0b02ma9 with start time 1698654179.019087
2023-10-30 09:22:59,707 DEBUG   HandlerThread:13699 [handler.py:handle_request():146] handle_request: check_version
2023-10-30 09:22:59,707 DEBUG   SenderThread:13699 [sender.py:send_request():407] send_request: check_version
2023-10-30 09:22:59,818 DEBUG   HandlerThread:13699 [handler.py:handle_request():146] handle_request: run_start
2023-10-30 09:22:59,843 DEBUG   HandlerThread:13699 [system_info.py:__init__():32] System info init
2023-10-30 09:22:59,843 DEBUG   HandlerThread:13699 [system_info.py:__init__():47] System info init done
2023-10-30 09:22:59,843 INFO    HandlerThread:13699 [system_monitor.py:start():194] Starting system monitor
2023-10-30 09:22:59,843 INFO    SystemMonitor:13699 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-30 09:22:59,843 INFO    HandlerThread:13699 [system_monitor.py:probe():214] Collecting system info
2023-10-30 09:22:59,844 INFO    SystemMonitor:13699 [interfaces.py:start():190] Started cpu monitoring
2023-10-30 09:22:59,844 INFO    SystemMonitor:13699 [interfaces.py:start():190] Started disk monitoring
2023-10-30 09:22:59,844 INFO    SystemMonitor:13699 [interfaces.py:start():190] Started gpuapple monitoring
2023-10-30 09:22:59,846 INFO    SystemMonitor:13699 [interfaces.py:start():190] Started memory monitoring
2023-10-30 09:22:59,846 DEBUG   HandlerThread:13699 [system_info.py:probe():196] Probing system
2023-10-30 09:22:59,846 INFO    SystemMonitor:13699 [interfaces.py:start():190] Started network monitoring
2023-10-30 09:22:59,959 DEBUG   HandlerThread:13699 [system_info.py:_probe_git():181] Probing git
2023-10-30 09:23:00,056 DEBUG   HandlerThread:13699 [system_info.py:_probe_git():189] Probing git done
2023-10-30 09:23:00,056 DEBUG   HandlerThread:13699 [system_info.py:probe():244] Probing system done
